welcome.started,welcome.stopped,intro_key.keys,intro_key.rt,intro_key.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction.started,instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,press_space.started,press_space.stopped,press_space_cont.keys,press_space_cont.rt,press_space_cont.duration,practice_trial.started,practice_trial.stopped,key_pract.keys,key_pract.rt,key_pract.duration,too_slow_practice.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,face,object,transition.started,transition.stopped,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,too_slow_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,too_slow_resp.rt,too_slow_resp.duration,end.started,end.stopped,space_to_exit.keys,space_to_exit.rt,space_to_exit.duration
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,55.8966,56.3665,space,0.4513,,,,,,,,,,,,,stimuli/b03.bmp,stimuli/g3.bmp,,,56.3666,57.0492,p,0.2627,,,0,22,22,26,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,57.0496,57.432,space,0.358,,,,,,,,,,,,,stimuli/b01.bmp,stimuli/g6.bmp,,,57.432,58.0679,p,0.2302,,,0,23,23,60,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,58.0685,58.5339,space,0.4387,,,,,,,,,,,,,stimuli/b04.bmp,stimuli/g2.bmp,,,58.5339,59.3366,p,0.397,,,0,24,24,15,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,59.337,59.6873,space,0.3348,,,,,,,,,,,,,stimuli/b06.bmp,stimuli/t6.bmp,,,59.6873,60.3873,q,0.2678,,,0,25,25,137,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,60.3879,60.7709,space,0.3675,,,,,,,,,,,,,stimuli/w04.bmp,stimuli/t6.bmp,,,60.771,61.539,p,0.3401,,,0,26,26,141,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,61.5394,61.9729,space,0.4171,,,,,,,,,,,,,stimuli/w05.bmp,stimuli/g4.bmp,,,61.9729,62.8414,p,0.4634,,,0,27,27,46,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,62.8419,63.1753,space,0.3188,,,,,,,,,,,,,stimuli/w05.bmp,stimuli/g6.bmp,,,63.1754,63.893,p,0.2994,,,0,28,28,70,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,63.8935,64.2771,space,0.3588,,,,,,,,,,,,,stimuli/w02.bmp,stimuli/t1.bmp,,,64.2771,65.062,q,0.3709,,,0,29,29,79,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,65.0624,65.4457,space,0.3586,,,,,,,,,,,,,stimuli/b01.bmp,stimuli/t1.bmp,,,65.4457,66.2635,q,0.401,,,0,30,30,72,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,66.2638,66.6477,space,0.3696,,,,,,,,,,,,,stimuli/w01.bmp,stimuli/g4.bmp,,,66.6477,67.3323,p,0.2611,,,0,31,31,42,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,67.3327,67.7498,space,0.3958,,,,,,,,,,,,,stimuli/w03.bmp,stimuli/g2.bmp,,,67.7498,68.5179,p,0.3563,,,0,32,32,20,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,68.5185,68.8855,space,0.3511,,,,,,,,,,,,,stimuli/w02.bmp,stimuli/t2.bmp,,,68.8855,69.653,q,0.3587,,,0,33,33,91,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,69.6532,70.0205,space,0.3537,,,,,,,,,,,,,stimuli/w01.bmp,stimuli/t4.bmp,,,70.0205,70.8552,q,0.4198,,,0,34,34,114,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,70.8556,71.2058,space,0.338,,,,,,,,,,,,,stimuli/b03.bmp,stimuli/t2.bmp,,,71.2058,71.9406,q,0.3205,,,0,35,35,86,1,,,,,,,
