welcome.started,welcome.stopped,intro_key.keys,intro_key.rt,intro_key.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction.started,instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,press_space.started,press_space.stopped,press_space_cont.keys,press_space_cont.rt,press_space_cont.duration,practice_trial.started,practice_trial.stopped,key_pract.keys,key_pract.rt,key_pract.duration,too_slow_practice.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,face,object,too_slow_practice.rt,too_slow_practice.duration,transition.started,transition.stopped,press_space_cont_2.keys,press_space_cont_2.rt,press_space_cont_2.duration,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,too_slow_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,too_slow_resp.rt,too_slow_resp.duration,end.started,end.stopped,space_to_exit.keys,space_to_exit.rt,space_to_exit.duration
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,90.6481,90.9812,space,0.319,,,,,,,,,,,,,stimuli/b01.bmp,stimuli/t1.bmp,,,,,,,,90.9813,91.6142,q,0.2007,,,0,6,6,72,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,91.6146,91.9653,space,0.3447,,,,,,,,,,,,,stimuli/w04.bmp,stimuli/g5.bmp,,,,,,,,91.9653,92.5473,p,0.1508,,,0,7,7,57,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,92.5479,93.0145,space,0.4558,,,,,,,,,,,,,stimuli/b03.bmp,stimuli/t2.bmp,,,,,,,,93.0146,93.6144,q,0.1738,,,0,8,8,86,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,93.6149,94.048,space,0.419,,,,,,,,,,,,,stimuli/b01.bmp,stimuli/g1.bmp,,,,,,,,94.048,94.5976,p,0.1172,,,0,9,9,0,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,94.5982,94.9805,space,0.369,,,,,,,,,,,,,stimuli/w01.bmp,stimuli/g2.bmp,,,,,,,,94.9806,95.5469,q,0.1397,,,0,10,10,18,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,95.5474,96.1804,space,0.6208,,,,,,,,,,,,,stimuli/w04.bmp,stimuli/t5.bmp,,,,,,,,96.1804,96.9968,p,0.3852,,,0,11,11,129,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,96.9974,98.6301,space,1.6171,,,,,,,,,,,,,stimuli/b06.bmp,stimuli/t5.bmp,,,,,,,,98.6302,99.4633,q,0.4031,,,0,12,12,125,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,99.4637,100.9463,space,1.4773,,,,,,,,,,,,,stimuli/w02.bmp,stimuli/t6.bmp,,,,,,,,100.9464,102.8295,,,,space,0,13,13,139,1,0.951,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,102.8299,103.7126,space,0.8756,,,,,,,,,,,,,stimuli/b03.bmp,stimuli/t5.bmp,,,,,,,,103.7127,104.5956,q,0.4601,,,0,14,14,122,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,104.5961,104.8125,space,0.2009,,,,,,,,,,,,,stimuli/w06.bmp,stimuli/t2.bmp,,,,,,,,104.8126,105.6456,q,0.416,,,0,15,15,95,1,,,,,,,
